target_model_key,target_model_config,acceptance_profile,policy_name,scenario_count,mean_throughput_tok_s,feasible_rate,mean_oracle_ratio
7b,llama2_7b_paper.json,conservative,remote_target_without_speculation,32,19.265642576092933,1.0,0.6384929650513831
7b,llama2_7b_paper.json,conservative,best_feasible_legacy_activation_split,32,15.952918564848819,1.0,0.5961552486865358
7b,llama2_7b_paper.json,conservative,token_speculation_without_pipeline,32,14.554261767124721,0.75,0.40319418328724027
7b,llama2_7b_paper.json,conservative,global_static_deepflow,32,27.982061140293737,1.0,0.9325208808480102
7b,llama2_7b_paper.json,conservative,heuristic_deepflow,32,28.080499693878938,1.0,0.9721821165204168
7b,llama2_7b_paper.json,conservative,per_scenario_oracle,32,29.663005119422728,1.0,1.0
7b,llama2_7b_paper.json,default,remote_target_without_speculation,32,19.265642576092933,1.0,0.5694666985593416
7b,llama2_7b_paper.json,default,best_feasible_legacy_activation_split,32,15.952918564848819,1.0,0.5317060326123157
7b,llama2_7b_paper.json,default,token_speculation_without_pipeline,32,16.318414708594386,0.75,0.4031941832872403
7b,llama2_7b_paper.json,default,global_static_deepflow,32,31.37382612699601,1.0,0.9325208808480102
7b,llama2_7b_paper.json,default,heuristic_deepflow,32,31.48419662647033,1.0,0.9721821165204168
7b,llama2_7b_paper.json,default,per_scenario_oracle,32,33.25852089147397,1.0,1.0
7b,llama2_7b_paper.json,favorable,remote_target_without_speculation,32,19.265642576092933,1.0,0.5544807328077801
7b,llama2_7b_paper.json,favorable,best_feasible_legacy_activation_split,32,15.952918564848819,1.0,0.5177137685962022
7b,llama2_7b_paper.json,favorable,token_speculation_without_pipeline,32,16.7594529439618,0.75,0.40319418328724027
7b,llama2_7b_paper.json,favorable,global_static_deepflow,32,32.221767373671575,1.0,0.9325208808480102
7b,llama2_7b_paper.json,favorable,heuristic_deepflow,32,32.33512085961817,1.0,0.9721821165204168
7b,llama2_7b_paper.json,favorable,per_scenario_oracle,32,34.15739983448678,1.0,1.0
13b,llama2_13b_paper.json,conservative,remote_target_without_speculation,32,10.116426692174803,1.0,0.6050109528624253
13b,llama2_13b_paper.json,conservative,best_feasible_legacy_activation_split,32,9.315808986820766,1.0,0.6101191171604908
13b,llama2_13b_paper.json,conservative,token_speculation_without_pipeline,32,6.488679435739954,0.25,0.16864859711942798
13b,llama2_13b_paper.json,conservative,global_static_deepflow,32,15.65769141606881,1.0,0.9373013109922207
13b,llama2_13b_paper.json,conservative,heuristic_deepflow,32,15.642160412813306,1.0,0.957834295725129
13b,llama2_13b_paper.json,conservative,per_scenario_oracle,32,16.574937998819955,1.0,1.0
13b,llama2_13b_paper.json,default,remote_target_without_speculation,32,10.116426692174803,1.0,0.49397769566597693
13b,llama2_13b_paper.json,default,best_feasible_legacy_activation_split,32,9.315808986820766,1.0,0.4986822651362009
13b,llama2_13b_paper.json,default,token_speculation_without_pipeline,32,7.2751860340114645,0.25,0.1544176392218006
13b,llama2_13b_paper.json,default,global_static_deepflow,32,19.258179036281867,1.0,0.9464443204895747
13b,llama2_13b_paper.json,default,heuristic_deepflow,32,17.538179856790677,1.0,0.876912074675896
13b,llama2_13b_paper.json,default,per_scenario_oracle,32,20.271966904090696,1.0,1.0
13b,llama2_13b_paper.json,favorable,remote_target_without_speculation,32,10.116426692174803,1.0,0.4577265700644355
13b,llama2_13b_paper.json,favorable,best_feasible_legacy_activation_split,32,9.315808986820766,1.0,0.4620858892525868
13b,llama2_13b_paper.json,favorable,token_speculation_without_pipeline,32,7.4718126835793415,0.25,0.14695269809919972
13b,llama2_13b_paper.json,favorable,global_static_deepflow,32,20.78339236834373,1.0,0.9464443204895747
13b,llama2_13b_paper.json,favorable,heuristic_deepflow,32,18.01218471778502,1.0,0.8345199163697408
13b,llama2_13b_paper.json,favorable,per_scenario_oracle,32,21.87747042189398,1.0,1.0
